Id_Pais,Pais,Continente
1,Argentina,América
2,Australia,Oceanía
3,Brasil,América
4,Canadá,América
5,China,Asia
6,España,Europa
7,Francia,Europa
8,Alemania,Europa
9,India,Asia
10,Indonesia,Asia
11,Italia,Europa
12,Japón,Asia
13,Kenia,África
14,México,América
15,Nigeria,África
16,Reino Unido,Europa
17,Rusia,Europa/Asia
18,Sudáfrica,África
19,Estados Unidos,América
20,Egipto,África
21,Grecia,Europa
22,Turquía,Europa/Asia
23,Arabia Saudita,Asia
24,Corea del Sur,Asia
25,Vietnam,Asia
26,Suecia,Europa
27,Noruega,Europa
28,Finlandia,Europa
29,Dinamarca,Europa
30,Bélgica,Europa
31,Países Bajos,Europa
32,Polonia,Europa
33,Portugal,Europa
34,Suiza,Europa
35,Austria,Europa
36,Hungría,Europa
37,República Checa,Europa
38,Eslovaquia,Europa
39,Croacia,Europa
40,Rumanía,Europa
41,Bulgaria,Europa
42,Serbia,Europa
43,Bosnia y Herzegovina,Europa
44,Albania,Europa
45,Macedonia del Norte,Europa
46,Montenegro,Europa
47,Kosovo,Europa
48,Islandia,Europa
49,Irlanda,Europa
50,Lituania,Europa
51,Letonia,Europa
52,Estonia,Europa
53,Bielorrusia,Europa
54,Ucrania,Europa
55,Moldavia,Europa
56,Georgia,Europa/Asia
57,Armenia,Europa/Asia
58,Azerbaiyán,Europa/Asia
59,Kazajistán,Asia
60,Uzbekistán,Asia
61,Turkmenistán,Asia
62,Kirguistán,Asia
63,Tayikistán,Asia
64,Irán,Asia
65,Irak,Asia
66,Siria,Asia
67,Jordania,Asia
68,Líbano,Asia
69,Israel,Asia
70,Palestina,Asia
71,Omán,Asia
72,Emiratos Árabes Unidos,Asia
73,Qatar,Asia
74,Kuwait,Asia
75,Bahrein,Asia
76,Yemen,Asia
77,Mongolia,Asia
78,El Salvador,América
79,Guatemala,América
80,Honduras,América
